y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
0.000000000000000000e+00,7.183119654655456543e-01,8.922007931946016601e-01,7.700000000000000178e-01,1.000000000000000000e+00,9.999855853332746403e-01,8.226155638694763184e-01,9.940465688705444336e-01,9.963408112525939941e-01,7.276701927185058594e-01,9.902876615524291992e-01,6.274244189262390137e-01,9.999473094940185547e-01,5.094619393348693848e-01,9.306982159614562988e-01,9.784769415855407715e-01,9.978817105293273926e-01,7.254174947738647461e-01,9.093207120895385742e-01
1.000000000000000000e+00,1.664146929979324341e-01,8.434761289309819846e-03,5.999999999999999778e-02,2.399659304528293001e-33,3.935945990268762112e-04,1.033933440339751542e-04,7.745027542114257812e-02,3.217460513114929199e-01,4.814701378345489502e-01,9.998537302017211914e-01,9.948624968528747559e-01,8.725812435150146484e-01,9.976715445518493652e-01,9.795892834663391113e-01,9.736515879631042480e-01,1.084536314010620117e-03,9.968612194061279297e-01,9.956182241439819336e-01
1.000000000000000000e+00,9.760664701461791992e-01,9.660215643961528320e-01,9.399999999999999467e-01,1.000000000000000000e+00,9.994706970750948383e-01,7.398043274879455566e-01,9.958918094635009766e-01,9.999917745590209961e-01,9.999998807907104492e-01,9.995750784873962402e-01,9.958528280258178711e-01,9.999951124191284180e-01,9.962596893310546875e-01,9.916760921478271484e-01,9.899699091911315918e-01,9.992634654045104980e-01,9.972996115684509277e-01,9.943495392799377441e-01
0.000000000000000000e+00,2.671546041965484619e-01,1.621123236945438140e-01,2.600000000000000089e-01,1.000000000000000000e+00,3.852102829054140270e-04,7.517898678779602051e-01,9.261954575777053833e-02,5.291448831558227539e-01,6.164519436424598098e-05,2.803944945335388184e-01,5.818036198616027832e-01,9.386336430907249451e-03,1.879070186987519264e-03,7.366686463356018066e-01,7.978152632713317871e-01,8.719824552536010742e-01,4.968815743923187256e-01,3.702874183654785156e-01
1.000000000000000000e+00,7.288640737533569336e-01,8.932005271232912325e-01,6.800000000000000488e-01,1.000000000000000000e+00,9.998396910630087397e-01,6.518900394439697266e-01,9.278456568717956543e-01,9.991428852081298828e-01,9.999160766601562500e-01,9.986401200294494629e-01,9.904340505599975586e-01,9.976777434349060059e-01,9.996615648269653320e-01,9.864999055862426758e-01,9.847732782363891602e-01,9.914781451225280762e-01,9.492003321647644043e-01,9.536184668540954590e-01
0.000000000000000000e+00,6.001102328300476074e-01,7.448145470423928050e-01,4.600000000000000200e-01,1.066385354853023874e-34,9.996002808135202589e-01,8.054971694946289062e-01,9.801908135414123535e-01,9.984283447265625000e-01,1.982959074666723609e-04,8.709460236344668260e-11,1.123625064519684358e-11,9.953773021697998047e-01,8.007456926861777902e-06,3.184290520152899262e-08,2.144208005594450128e-10,9.974494576454162598e-01,7.158531388995470479e-06,1.188815349451033399e-05
0.000000000000000000e+00,3.059830330312252045e-02,9.581139625712574437e-03,5.999999999999999778e-02,7.829446836172975368e-07,4.573333803567361451e-05,6.463299939696298679e-08,4.884142801165580750e-02,3.007310397151741199e-06,6.966646651562768966e-06,2.917959136539138854e-06,2.421056137791310903e-07,4.888882318589268458e-15,4.045904497615993023e-04,3.457205093582160771e-05,4.887423347099684179e-05,6.571332846760924440e-07,9.712614701129496098e-04,3.959501162171363831e-03
1.000000000000000000e+00,2.876590192317962646e-02,3.927260057750557067e-03,5.000000000000000278e-02,1.380524392171555511e-104,1.640894944453478162e-09,4.555100474590290105e-07,2.762100193649530411e-03,1.645572192501276731e-04,9.999988079071044922e-01,9.996689558029174805e-01,9.864442944526672363e-01,7.320187750230189305e-13,9.985016584396362305e-01,9.888713955879211426e-01,9.834798574447631836e-01,5.755661550210788846e-05,9.930670261383056641e-01,9.950811862945556641e-01
1.000000000000000000e+00,1.743047684431076050e-01,6.898427913452504119e-03,5.000000000000000278e-02,3.881190246740682153e-58,2.619997306879410653e-07,2.676632175280246884e-05,1.958221197128295898e-02,4.312294069677591324e-03,9.999997615814208984e-01,9.996383190155029297e-01,9.220653176307678223e-01,5.439812084659934044e-04,9.989417195320129395e-01,9.719637632369995117e-01,9.936923980712890625e-01,1.243345031980425119e-04,9.985120892524719238e-01,9.949294328689575195e-01
0.000000000000000000e+00,7.659404277801513672e-01,8.327379184211838314e-01,5.200000000000000178e-01,1.000000000000000000e+00,9.999696516728239226e-01,7.067087888717651367e-01,8.956304192543029785e-01,9.984281063079833984e-01,1.154676624537387397e-06,4.804589615048371343e-09,7.628248235230598614e-19,9.868208765983581543e-01,1.041827317749266513e-06,5.266937819214945193e-08,1.921379862324101850e-06,9.962198138236999512e-01,1.095967149922216777e-06,2.385450216024764813e-06
0.000000000000000000e+00,2.454342879354953766e-02,1.233535961002420189e-02,1.499999999999999944e-01,1.018830631504926678e-56,6.416162098196193446e-08,1.052255742251873016e-03,1.243044994771480560e-02,4.313034936785697937e-02,6.072021108138869749e-08,1.092984378337860107e-01,5.593730807304382324e-01,1.388840228319168091e-01,1.047317709890194237e-04,2.236734516918659210e-02,3.057587146759033203e-02,7.393140112981200218e-04,4.488158524036407471e-01,8.414190411567687988e-01
0.000000000000000000e+00,9.815939068794250488e-01,9.669430396032563380e-01,9.599999999999999645e-01,1.000000000000000000e+00,9.999959175128391164e-01,8.540999293327331543e-01,9.912646412849426270e-01,9.999899864196777344e-01,5.109289418214757461e-07,1.017465367913246155e-01,1.866064303612802178e-05,9.999774694442749023e-01,5.107608065009117126e-02,2.389212138950824738e-03,9.264120832085609436e-03,9.993695616722106934e-01,5.530073866248130798e-02,1.879076063632965088e-01
0.000000000000000000e+00,9.752036333084106445e-01,9.820488924615425885e-01,9.599999999999999645e-01,1.000000000000000000e+00,9.999999998543278590e-01,7.773320674896240234e-01,9.907633662223815918e-01,9.995746016502380371e-01,9.239655440751448623e-08,6.712184287607669830e-03,8.810876170173287392e-04,9.992460012435913086e-01,5.516655743122100830e-02,5.998568534851074219e-01,3.787374822422862053e-03,9.990843534469604492e-01,2.507501048967242241e-04,6.777768023312091827e-03
1.000000000000000000e+00,8.561116456985473633e-01,9.383257613221738236e-01,8.199999999999999512e-01,1.000000000000000000e+00,9.999993995852288764e-01,7.231976389884948730e-01,9.791345596313476562e-01,9.858033657073974609e-01,1.000000000000000000e+00,9.977111816406250000e-01,9.795901775360107422e-01,9.872744083404541016e-01,9.998706579208374023e-01,9.816852211952209473e-01,9.988652467727661133e-01,9.952440857887268066e-01,9.982742071151733398e-01,9.969057440757751465e-01
0.000000000000000000e+00,1.017777770757675171e-01,5.410053714773283701e-02,2.399999999999999911e-01,5.526940603186830592e-110,6.705979314213628790e-04,6.814444204792380333e-04,1.382311135530471802e-01,7.599956989288330078e-01,5.091262664791429415e-06,6.512887310236692429e-03,3.639106438413364231e-08,4.591733589768409729e-02,6.065010093152523041e-04,2.755234527285210788e-05,6.240779475774616003e-05,1.503013633191585541e-02,1.950063415279146284e-05,2.001532993745058775e-04
1.000000000000000000e+00,2.307119779288768768e-02,8.807013358878018616e-02,2.200000000000000011e-01,1.069939666490162629e-69,7.855470113159612744e-02,1.344338408671319485e-03,1.672996580600738525e-02,8.350583165884017944e-02,9.999986886978149414e-01,9.998275041580200195e-01,9.599559903144836426e-01,1.701322435110341758e-05,9.999319314956665039e-01,9.959068298339843750e-01,9.995280504226684570e-01,9.754141210578382015e-04,9.989573955535888672e-01,9.993545413017272949e-01
1.000000000000000000e+00,5.307890176773071289e-01,9.660733887562110711e-01,9.200000000000000400e-01,1.000000000000000000e+00,9.999999842500775227e-01,7.742481827735900879e-01,9.911708235740661621e-01,9.996442794799804688e-01,8.377185463905334473e-01,9.997529387474060059e-01,7.855668081901967525e-05,9.991775155067443848e-01,9.995998740196228027e-01,9.988602399826049805e-01,9.967049956321716309e-01,9.991298317909240723e-01,9.995399713516235352e-01,9.995328187942504883e-01
0.000000000000000000e+00,9.810940623283386230e-01,9.347333319057893330e-01,9.300000000000000488e-01,1.000000000000000000e+00,9.999956599282582292e-01,7.443881034851074219e-01,9.937346577644348145e-01,9.955521225929260254e-01,1.166973675026383717e-06,2.553743869066238403e-02,2.318031154572963715e-03,9.999547004699707031e-01,5.731901526451110840e-01,1.973716169595718384e-01,3.652884066104888916e-02,9.985252022743225098e-01,4.406072199344635010e-01,4.240872263908386230e-01
0.000000000000000000e+00,2.051475644111633301e-02,4.900451994582355822e-03,2.000000000000000042e-02,1.411214321229487585e-137,1.643358009546461240e-10,1.107606735217814276e-07,2.590351039543747902e-03,1.616445274521538522e-06,6.814747393946163356e-06,5.390090518631041050e-04,2.170707657933235168e-02,9.544974069358825122e-17,7.841631770133972168e-02,1.123776892200112343e-03,2.957971692085266113e-01,1.463016997149679810e-05,4.715103805065155029e-01,4.673008224926888943e-04
0.000000000000000000e+00,2.193506062030792236e-02,8.025162789178454104e-03,2.999999999999999889e-02,5.571294989073888916e-246,5.123190308412155576e-10,9.209234974605351454e-08,1.443002722226083279e-03,3.615716923377476633e-05,1.469915969209978357e-05,8.938349310483317822e-06,1.510468727872193995e-08,2.811104682365339613e-10,5.668665471603162587e-05,1.621174043975770473e-03,1.615108485566452146e-04,8.913203600968699902e-06,1.237152609974145889e-02,3.003878891468048096e-02
1.000000000000000000e+00,7.507009506225585938e-01,8.774593126350731520e-01,6.999999999999999556e-01,3.517723180007949168e-65,9.998872800263551852e-01,4.225619137287139893e-01,6.966043114662170410e-01,9.932361245155334473e-01,9.998968839645385742e-01,9.996951818466186523e-01,9.723476171493530273e-01,9.980322718620300293e-01,9.554722905158996582e-01,6.858161091804504395e-01,9.964125752449035645e-01,9.635979533195495605e-01,9.977091550827026367e-01,9.983429908752441406e-01
0.000000000000000000e+00,9.486080706119537354e-02,1.569851055098401074e-02,1.600000000000000033e-01,6.393308327620372567e-200,4.437205428734203802e-10,7.139715307857841253e-05,2.956590242683887482e-02,3.001103177666664124e-04,5.438711241367855109e-07,1.238306701623059780e-08,1.417946301351794386e-21,2.663662391648230141e-15,7.427203172483132221e-07,3.386452735867351294e-04,6.530186169584339950e-09,6.469336994996410795e-07,5.651114042848348618e-04,2.348382724449038506e-03
0.000000000000000000e+00,5.017361044883728027e-02,4.101545555812340441e-03,4.000000000000000083e-02,2.769924031479253475e-77,1.387474447196931341e-09,1.007827540888683870e-05,2.660752832889556885e-02,1.756962854415178299e-03,1.712972698442172259e-05,1.752537646098062396e-04,3.971211612224578857e-01,1.027333473757607862e-05,6.557746976613998413e-02,1.179167767986655235e-03,8.120175451040267944e-03,3.189365088474005461e-04,1.000165659934282303e-02,1.902004238218069077e-03
1.000000000000000000e+00,8.914631605148315430e-01,7.903656536893579609e-01,6.300000000000000044e-01,6.289914578589076022e-17,5.294076121845668892e-01,7.309109568595886230e-01,9.828091263771057129e-01,9.831061959266662598e-01,9.891377091407775879e-01,9.998540878295898438e-01,9.913688302040100098e-01,9.976270794868469238e-01,9.992681145668029785e-01,9.929085969924926758e-01,9.930168390274047852e-01,9.983548521995544434e-01,9.990767240524291992e-01,9.991390705108642578e-01
0.000000000000000000e+00,4.383033215999603271e-01,8.179485968910858995e-01,5.000000000000000000e-01,1.000000000000000000e+00,4.158002987312510168e-01,6.675992608070373535e-01,8.083367943763732910e-01,9.999116659164428711e-01,1.243950799107551575e-01,2.191016828874126077e-04,1.061738519325672314e-08,7.858045101165771484e-01,7.160730092437006533e-06,5.541975260712206364e-04,2.643957547843456268e-02,9.981119632720947266e-01,3.311504051089286804e-02,7.747948635369539261e-03
0.000000000000000000e+00,7.286427915096282959e-02,7.125566573395627698e-03,7.000000000000000666e-02,1.000000000000000000e+00,2.547872813521645926e-07,7.934639825180056505e-07,9.724388830363750458e-03,6.354116485454142094e-04,1.084904186427593231e-03,9.615912102162837982e-03,2.713357796892523766e-03,8.932366881708730944e-07,6.852259635925292969e-01,3.873833641409873962e-02,8.891009201761335135e-05,1.957671156560536474e-05,1.009038605843670666e-04,7.142996182665228844e-04
1.000000000000000000e+00,1.646394878625869751e-01,1.471892190492177580e-02,1.400000000000000133e-01,1.000000000000000000e+00,2.078860283954929846e-06,1.676107523962855339e-03,2.873158752918243408e-01,9.025146961212158203e-01,9.999997615814208984e-01,9.999347925186157227e-01,9.904509186744689941e-01,9.047995805740356445e-01,9.950261712074279785e-01,9.989622831344604492e-01,9.969430565834045410e-01,3.874085843563079834e-02,9.977401494979858398e-01,9.985213875770568848e-01
1.000000000000000000e+00,2.539347112178802490e-01,7.597804355636560147e-02,2.300000000000000100e-01,9.279582953173108943e-53,2.972730000927197806e-03,1.361838877201080322e-01,3.223542571067810059e-01,5.983353853225708008e-01,9.999994039535522461e-01,9.999235868453979492e-01,9.845445752143859863e-01,2.024386194534599781e-04,9.999679327011108398e-01,9.934321045875549316e-01,9.952477812767028809e-01,4.531867504119873047e-01,9.949640035629272461e-01,9.937635064125061035e-01
0.000000000000000000e+00,6.505441069602966309e-01,4.028731759968883774e-01,6.400000000000000133e-01,1.000000000000000000e+00,9.968325441708528745e-01,7.834413647651672363e-01,9.873173832893371582e-01,9.766212105751037598e-01,9.781640768051147461e-01,1.941269934177398682e-01,8.544892668724060059e-01,9.998615980148315430e-01,6.160120368003845215e-01,9.488803744316101074e-01,9.688355326652526855e-01,9.968210458755493164e-01,9.900286793708801270e-01,9.724338054656982422e-01
0.000000000000000000e+00,7.581879496574401855e-01,9.084917313284153195e-01,6.800000000000000488e-01,1.000000000000000000e+00,9.999847036757237850e-01,7.820082306861877441e-01,9.896969199180603027e-01,9.945835471153259277e-01,3.313472552690654993e-05,3.776407975237816572e-04,1.679529063403606415e-02,9.994581341743469238e-01,4.493810236454010010e-03,2.271409584864159115e-06,5.161527078598737717e-03,9.983294606208801270e-01,2.598053652036469430e-05,3.814255178440362215e-04
0.000000000000000000e+00,1.548076570034027100e-01,7.737169600224295084e-03,1.300000000000000044e-01,1.000000000000000000e+00,5.325627112502360902e-05,5.772710442543029785e-01,6.161465048789978027e-01,5.449174046516418457e-01,5.387886762619018555e-01,9.923795461654663086e-01,9.974388778209686279e-02,7.406342029571533203e-01,9.973387122154235840e-01,9.869427680969238281e-01,9.973143935203552246e-01,9.561857581138610840e-01,9.968580007553100586e-01,9.590014219284057617e-01
0.000000000000000000e+00,2.065640091896057129e-01,1.551471870082037421e-02,2.000000000000000042e-02,3.800814248266729551e-106,5.106476964405547962e-07,1.196256023831665516e-03,1.085214167833328247e-01,9.221991896629333496e-01,7.628348157595610246e-07,2.178663562517613173e-04,2.700557410717010498e-01,9.668393731117248535e-01,1.883034259080886841e-01,1.009320294542703778e-05,8.393566531594842672e-05,4.919894337654113770e-01,3.553081750869750977e-01,8.133796453475952148e-01
0.000000000000000000e+00,3.552193567156791687e-02,1.934730656832085380e-02,1.600000000000000033e-01,5.625257865318063779e-232,8.422153302170942076e-07,4.639438338926993310e-05,5.269695520401000977e-01,1.044825912686064839e-04,1.005087142402771860e-06,3.834824860095977783e-01,7.602553814649581909e-02,4.925998382532270625e-07,7.852980634197592735e-04,2.653793990612030029e-01,6.321734935045242310e-02,2.042773849098011851e-05,1.039137914776802063e-01,3.205228224396705627e-02
1.000000000000000000e+00,3.455661237239837646e-01,7.698471820243051045e-02,2.399999999999999911e-01,1.000000000000000000e+00,1.679689591842664087e-01,4.256770946085453033e-03,4.374364763498306274e-02,9.814301133155822754e-01,1.000000000000000000e+00,9.996349811553955078e-01,9.826765060424804688e-01,9.467963576316833496e-01,9.999967813491821289e-01,9.962406158447265625e-01,9.993999004364013672e-01,7.267785072326660156e-02,9.993678927421569824e-01,9.992995262145996094e-01
0.000000000000000000e+00,9.862979054450988770e-01,9.668824807018173706e-01,8.499999999999999778e-01,1.000000000000000000e+00,9.999994431829980490e-01,7.659724950790405273e-01,9.977350234985351562e-01,9.999918937683105469e-01,7.462984285666607320e-06,2.279228530824184418e-03,3.316831775009632111e-03,9.998146891593933105e-01,5.795619799755513668e-04,2.529154298827052116e-03,9.833336807787418365e-04,9.998775720596313477e-01,1.001414202619343996e-04,2.288604620844125748e-03
0.000000000000000000e+00,8.506492525339126587e-02,1.318129999401345710e-02,4.000000000000000083e-02,4.641126044515646962e-14,1.040335806621364831e-06,2.840900560840964317e-03,4.885353520512580872e-02,2.103597074747085571e-01,9.525707582724862732e-07,4.076065868139266968e-02,6.966439104871824384e-05,1.559767127037048340e-01,9.372672997415065765e-03,3.392834216356277466e-02,6.443653837777674198e-04,3.319404125213623047e-01,5.492545460583642125e-05,4.044477536808699369e-04
0.000000000000000000e+00,2.381268702447414398e-02,3.470438328052665496e-03,8.999999999999999667e-02,1.000000000000000000e+00,3.508621896655259018e-10,3.869286039844155312e-03,3.218656778335571289e-01,4.734359681606292725e-03,3.962041228078305721e-05,2.864119014702737331e-04,2.734876147769682575e-08,6.781416574119791818e-12,3.757462278008460999e-02,8.374940371140837669e-04,1.440044958144426346e-02,2.424414828419685364e-02,8.314602375030517578e-01,7.520996332168579102e-01
1.000000000000000000e+00,8.620174229145050049e-02,7.892624994290832821e-03,1.000000000000000056e-01,4.395208840875981224e-22,3.004221733605670833e-06,3.401248017325997353e-03,1.446009874343872070e-01,2.022333741188049316e-01,9.994964599609375000e-01,9.997538924217224121e-01,9.900913238525390625e-01,1.500731706619262695e-01,9.996085762977600098e-01,9.979256391525268555e-01,9.983564019203186035e-01,2.366496622562408447e-02,9.992838501930236816e-01,9.995465874671936035e-01
