y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
0.000000000000000000e+00,1.283922642469406128e-01,3.630957297835263331e-02,1.799999999999999933e-01,1.000000000000000000e+00,1.441376652647798978e-07,2.672024071216583252e-01,7.420755177736282349e-02,6.700926460325717926e-03,1.521288481853844132e-07,5.717212799936532974e-03,2.233385885119787417e-06,3.712829084179247729e-07,1.007849350571632385e-03,4.962772596627473831e-03,9.658713638782501221e-02,4.776321002282202244e-04,4.326540511101484299e-03,6.861326983198523521e-05
1.000000000000000000e+00,9.897651076316833496e-01,9.005233617622294684e-01,6.999999999999999556e-01,1.000000000000000000e+00,9.999994986081699455e-01,7.452280521392822266e-01,7.981920838356018066e-01,9.989904761314392090e-01,9.968935251235961914e-01,9.853595495223999023e-01,9.997934699058532715e-01,9.993650317192077637e-01,9.937122464179992676e-01,9.829639196395874023e-01,9.965427517890930176e-01,9.951869845390319824e-01,9.957465529441833496e-01,9.840002655982971191e-01
1.000000000000000000e+00,8.734119534492492676e-01,9.143126311513053439e-01,9.699999999999999734e-01,1.000000000000000000e+00,9.999456472521185413e-01,7.372083067893981934e-01,9.949141740798950195e-01,9.951854348182678223e-01,9.999997615814208984e-01,9.877665042877197266e-01,9.956151247024536133e-01,9.999970197677612305e-01,9.807500243186950684e-01,7.872359156608581543e-01,9.510391950607299805e-01,9.957723021507263184e-01,9.892494678497314453e-01,9.889899492263793945e-01
0.000000000000000000e+00,1.259624361991882324e-01,1.524270841136047411e-02,8.999999999999999667e-02,1.000000000000000000e+00,5.880924630830310480e-07,7.427615346387028694e-04,3.322547767311334610e-03,1.899700053036212921e-02,5.733929720008745790e-05,1.206084634759463370e-04,2.874326696655771229e-07,1.067566790879936889e-05,2.579758875072002411e-04,3.466561247478239238e-05,1.881255593616515398e-04,1.506389235146343708e-04,6.240018410608172417e-05,1.771926763467490673e-03
0.000000000000000000e+00,2.969295382499694824e-01,2.487373331161582546e-02,1.000000000000000056e-01,1.228178395283349512e-48,4.474326941359905025e-05,7.404923904687166214e-03,9.840791672468185425e-02,2.037593722343444824e-02,1.368820721836527810e-05,1.945796236395835876e-02,8.326960960403084755e-04,2.071259310469031334e-03,6.694742478430271149e-04,1.762305328156799078e-04,3.295065544079989195e-04,6.307616786216385663e-06,8.934439392760396004e-04,5.510803021024912596e-05
1.000000000000000000e+00,7.706979513168334961e-01,8.506295806567880646e-01,4.699999999999999734e-01,1.000000000000000000e+00,9.996394104240592382e-01,8.633365035057067871e-01,9.235421419143676758e-01,9.995563626289367676e-01,9.998594522476196289e-01,9.895846247673034668e-01,9.998973608016967773e-01,9.999020099639892578e-01,9.812484979629516602e-01,9.887075424194335938e-01,8.842898011207580566e-01,9.963016510009765625e-01,9.959337115287780762e-01,9.869788885116577148e-01
0.000000000000000000e+00,2.720542848110198975e-01,6.641036583674109380e-03,8.000000000000000167e-02,1.884723026687852629e-94,1.800959054246156594e-11,9.521208085061516613e-06,1.381575595587491989e-02,3.206668282018654281e-07,1.279017283195571508e-07,2.683328226282810647e-09,4.310980140751171957e-17,1.049526182180852727e-17,2.821651134965463825e-09,8.766654957526043290e-08,3.458432207281703086e-09,2.785298192975460552e-06,8.483975193485093769e-07,8.191026427084580064e-05
1.000000000000000000e+00,9.836036562919616699e-01,9.094422314794208262e-01,9.300000000000000488e-01,1.000000000000000000e+00,9.998714100723522513e-01,8.010828495025634766e-01,9.961081147193908691e-01,9.992996454238891602e-01,9.975479245185852051e-01,9.956650137901306152e-01,9.998089671134948730e-01,9.965839385986328125e-01,9.971000552177429199e-01,9.939117431640625000e-01,9.902169704437255859e-01,9.977378845214843750e-01,9.892666339874267578e-01,9.946523904800415039e-01
1.000000000000000000e+00,6.272227764129638672e-01,6.727581752863023290e-01,5.600000000000000533e-01,1.000000000000000000e+00,8.432369837891210418e-01,7.867587804794311523e-01,2.052012234926223755e-01,9.008823037147521973e-01,9.746941924095153809e-01,9.176847934722900391e-01,9.990065693855285645e-01,9.859332442283630371e-01,9.972775578498840332e-01,9.936149120330810547e-01,8.707540631294250488e-01,9.870874881744384766e-01,9.638411402702331543e-01,9.438188076019287109e-01
1.000000000000000000e+00,9.114921689033508301e-01,8.578309475698936426e-01,6.300000000000000044e-01,1.000000000000000000e+00,9.996313649507281296e-01,7.492589950561523438e-01,9.277803897857666016e-01,9.995587468147277832e-01,9.999984502792358398e-01,9.961147308349609375e-01,9.999696016311645508e-01,9.999996423721313477e-01,9.969738721847534180e-01,9.945117235183715820e-01,9.870252013206481934e-01,9.971855282783508301e-01,9.947323799133300781e-01,9.952973723411560059e-01
