y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
1.000000000000000000e+00,7.183119654655456543e-01,8.922007931946016601e-01,7.700000000000000178e-01,1.000000000000000000e+00,9.999855853332746403e-01,8.226155638694763184e-01,9.940465688705444336e-01,9.963408112525939941e-01,9.997951388359069824e-01,9.600566029548645020e-01,9.982308745384216309e-01,9.999952316284179688e-01,9.805665016174316406e-01,9.940420985221862793e-01,6.964132785797119141e-01,9.977909326553344727e-01,9.961140155792236328e-01,9.780269861221313477e-01
1.000000000000000000e+00,1.664146929979324341e-01,8.434761289309819846e-03,5.999999999999999778e-02,2.399659304528293001e-33,3.935945990268762112e-04,1.033933440339751542e-04,7.745027542114257812e-02,3.217460513114929199e-01,2.117096213623881340e-03,1.198236718773841858e-01,8.372345566749572754e-01,4.236239194869995117e-02,1.712184026837348938e-02,1.212728023529052734e-02,1.930328011512756348e-01,5.087337456643581390e-03,2.510100044310092926e-02,3.231575537938624620e-04
1.000000000000000000e+00,9.760664701461791992e-01,9.660215643961528320e-01,9.399999999999999467e-01,1.000000000000000000e+00,9.994706970750948383e-01,7.398043274879455566e-01,9.958918094635009766e-01,9.999917745590209961e-01,9.999877214431762695e-01,9.992870688438415527e-01,9.999994039535522461e-01,9.999998807907104492e-01,9.997919201850891113e-01,9.980000853538513184e-01,9.978066086769104004e-01,9.990299940109252930e-01,9.989086389541625977e-01,9.976683259010314941e-01
0.000000000000000000e+00,2.671546041965484619e-01,1.621123236945438140e-01,2.600000000000000089e-01,1.000000000000000000e+00,3.852102829054140270e-04,7.517898678779602051e-01,9.261954575777053833e-02,5.291448831558227539e-01,8.202164769172668457e-01,2.895825505256652832e-01,2.747992039076052606e-05,2.288445979356765747e-01,8.573041856288909912e-02,5.907546281814575195e-01,1.372079253196716309e-01,9.190941452980041504e-01,5.935249328613281250e-01,7.801637053489685059e-01
1.000000000000000000e+00,7.288640737533569336e-01,8.932005271232912325e-01,6.800000000000000488e-01,1.000000000000000000e+00,9.998396910630087397e-01,6.518900394439697266e-01,9.278456568717956543e-01,9.991428852081298828e-01,1.401813030242919922e-01,9.715954065322875977e-01,9.991143345832824707e-01,9.993133544921875000e-01,9.986930489540100098e-01,9.897165894508361816e-01,9.804108738899230957e-01,9.946759939193725586e-01,9.740853905677795410e-01,9.904826879501342773e-01
1.000000000000000000e+00,6.001102328300476074e-01,7.448145470423928050e-01,4.600000000000000200e-01,1.066385354853023874e-34,9.996002808135202589e-01,8.054971694946289062e-01,9.801908135414123535e-01,9.984283447265625000e-01,9.876696467399597168e-01,9.859308004379272461e-01,9.996106028556823730e-01,9.927749633789062500e-01,9.840228557586669922e-01,9.036359786987304688e-01,9.956762194633483887e-01,9.557433128356933594e-01,9.845305681228637695e-01,9.293450117111206055e-01
0.000000000000000000e+00,3.059830330312252045e-02,9.581139625712574437e-03,5.999999999999999778e-02,7.829446836172975368e-07,4.573333803567361451e-05,6.463299939696298679e-08,4.884142801165580750e-02,3.007310397151741199e-06,4.780451234864813159e-08,1.273060775019985158e-06,1.124978592676210629e-14,5.253312541919630263e-12,1.917939662234857678e-04,1.833085327973549283e-08,1.597733501057518879e-07,4.180968176115129609e-07,2.056520770565839484e-06,1.973296093638055027e-05
0.000000000000000000e+00,2.876590192317962646e-02,3.927260057750557067e-03,5.000000000000000278e-02,1.380524392171555511e-104,1.640894944453478162e-09,4.555100474590290105e-07,2.762100193649530411e-03,1.645572192501276731e-04,1.074785700438951608e-06,1.207292734761722386e-04,3.702715289932712039e-08,3.842088452943315247e-11,8.789974963292479515e-04,3.200652281520888209e-05,6.631823907810030505e-06,1.330232953478116542e-05,1.551870373077690601e-04,1.723385685181710869e-05
0.000000000000000000e+00,1.743047684431076050e-01,6.898427913452504119e-03,5.000000000000000278e-02,3.881190246740682153e-58,2.619997306879410653e-07,2.676632175280246884e-05,1.958221197128295898e-02,4.312294069677591324e-03,3.171365676735149464e-07,1.306558697251603007e-04,9.992002742365002632e-05,4.699233159044524655e-06,3.123939862348379393e-08,2.051596238743513823e-04,2.947677159681916237e-03,1.235146075487136841e-03,8.978623664006590843e-04,2.635766863822937012e-01
1.000000000000000000e+00,7.659404277801513672e-01,8.327379184211838314e-01,5.200000000000000178e-01,1.000000000000000000e+00,9.999696516728239226e-01,7.067087888717651367e-01,8.956304192543029785e-01,9.984281063079833984e-01,9.144569635391235352e-01,9.847955703735351562e-01,9.974732995033264160e-01,9.970014691352844238e-01,9.953035116195678711e-01,9.957807064056396484e-01,9.916250109672546387e-01,9.953392744064331055e-01,9.937771558761596680e-01,9.870210289955139160e-01
0.000000000000000000e+00,2.454342879354953766e-02,1.233535961002420189e-02,1.499999999999999944e-01,1.018830631504926678e-56,6.416162098196193446e-08,1.052255742251873016e-03,1.243044994771480560e-02,4.313034936785697937e-02,2.731147408485412598e-02,1.069783465936779976e-03,1.403044257313013077e-02,5.134705454111099243e-03,9.502991451881825924e-05,8.829629980027675629e-03,1.145942835137248039e-03,2.125789411365985870e-03,1.464567380025982857e-03,1.017043087631464005e-02
1.000000000000000000e+00,9.815939068794250488e-01,9.669430396032563380e-01,9.599999999999999645e-01,1.000000000000000000e+00,9.999959175128391164e-01,8.540999293327331543e-01,9.912646412849426270e-01,9.999899864196777344e-01,9.999998807907104492e-01,9.978212118148803711e-01,9.999969005584716797e-01,9.999989271163940430e-01,9.998555183410644531e-01,9.980576634407043457e-01,9.918038845062255859e-01,9.984330534934997559e-01,9.990748167037963867e-01,9.974849224090576172e-01
1.000000000000000000e+00,9.752036333084106445e-01,9.820488924615425885e-01,9.599999999999999645e-01,1.000000000000000000e+00,9.999999998543278590e-01,7.773320674896240234e-01,9.907633662223815918e-01,9.995746016502380371e-01,9.292142391204833984e-01,9.962271451950073242e-01,9.999723434448242188e-01,9.997223019599914551e-01,9.993426203727722168e-01,9.972445964813232422e-01,9.888101816177368164e-01,9.985828399658203125e-01,9.971432089805603027e-01,9.971666932106018066e-01
1.000000000000000000e+00,8.561116456985473633e-01,9.383257613221738236e-01,8.199999999999999512e-01,1.000000000000000000e+00,9.999993995852288764e-01,7.231976389884948730e-01,9.791345596313476562e-01,9.858033657073974609e-01,9.999086856842041016e-01,9.600536823272705078e-01,9.928148984909057617e-01,9.994988441467285156e-01,9.879364371299743652e-01,9.857343435287475586e-01,9.889556765556335449e-01,9.965768456459045410e-01,9.820939898490905762e-01,9.641803503036499023e-01
0.000000000000000000e+00,1.017777770757675171e-01,5.410053714773283701e-02,2.399999999999999911e-01,5.526940603186830592e-110,6.705979314213628790e-04,6.814444204792380333e-04,1.382311135530471802e-01,7.599956989288330078e-01,1.272320369025692344e-04,1.627346128225326538e-01,1.297241598367691040e-01,1.974531187443062663e-04,1.182838827371597290e-01,2.174292458221316338e-03,2.677878737449645996e-02,1.528255790472030640e-01,1.157314628362655640e-01,1.095190048217773438e-01
0.000000000000000000e+00,2.307119779288768768e-02,8.807013358878018616e-02,2.200000000000000011e-01,1.069939666490162629e-69,7.855470113159612744e-02,1.344338408671319485e-03,1.672996580600738525e-02,8.350583165884017944e-02,3.652054292615503073e-04,6.262467242777347565e-03,2.180008159484714270e-04,7.743428432149812579e-05,1.467073149979114532e-02,1.313889952143654227e-04,3.233382850885391235e-02,1.007283135550096631e-04,4.014157690107822418e-03,7.567768334411084652e-04
1.000000000000000000e+00,5.307890176773071289e-01,9.660733887562110711e-01,9.200000000000000400e-01,1.000000000000000000e+00,9.999999842500775227e-01,7.742481827735900879e-01,9.911708235740661621e-01,9.996442794799804688e-01,9.999979734420776367e-01,9.976336956024169922e-01,9.998266100883483887e-01,9.999467134475708008e-01,9.954767823219299316e-01,9.964094758033752441e-01,9.975343942642211914e-01,9.985705614089965820e-01,9.973396658897399902e-01,9.969697594642639160e-01
1.000000000000000000e+00,9.810940623283386230e-01,9.347333319057893330e-01,9.300000000000000488e-01,1.000000000000000000e+00,9.999956599282582292e-01,7.443881034851074219e-01,9.937346577644348145e-01,9.955521225929260254e-01,9.999626874923706055e-01,9.973987340927124023e-01,9.996054768562316895e-01,9.999625682830810547e-01,9.911918044090270996e-01,9.950417876243591309e-01,9.658861160278320312e-01,9.981867671012878418e-01,9.966453909873962402e-01,9.937344193458557129e-01
0.000000000000000000e+00,2.051475644111633301e-02,4.900451994582355822e-03,2.000000000000000042e-02,1.411214321229487585e-137,1.643358009546461240e-10,1.107606735217814276e-07,2.590351039543747902e-03,1.616445274521538522e-06,1.847652875142102857e-08,2.299870402566739358e-06,9.925261567483856240e-13,6.778717432482598421e-15,1.125270500779151917e-06,6.355878099384426605e-07,2.017487713601440191e-05,1.163241904578171670e-05,2.930351911345496774e-05,1.884550692921038717e-05
