y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
0.000000000000000000e+00,5.363539606332778931e-02,2.146106009694912775e-01,2.600000000000000089e-01,0.000000000000000000e+00,2.775762456302178300e-07,4.561112262308597565e-03,5.738440901041030884e-03,2.600083351135253906e-01,8.196846246719360352e-01,1.134688127785921097e-02,1.111207529902458191e-03,1.649932935833930969e-02,7.342496514320373535e-01,2.527007758617401123e-01,1.017238013446331024e-02,9.937963485717773438e-01,5.501264333724975586e-01,8.816580772399902344e-01
0.000000000000000000e+00,1.224981322884559631e-01,6.201057710074873303e-02,3.300000000000000155e-01,0.000000000000000000e+00,5.788547940160089803e-09,4.598848149180412292e-02,4.079021811485290527e-01,2.722978824749588966e-03,7.405903339385986328e-01,4.296300467103719711e-03,4.240696504712104797e-02,7.559698540717363358e-03,1.191245671361684799e-02,2.529497491195797920e-03,9.984532594680786133e-01,1.556839852128177881e-04,2.553054073359817266e-04,7.942143678665161133e-01
1.000000000000000000e+00,8.331502079963684082e-01,9.467393796755367852e-01,5.899999999999999689e-01,1.000000000000000000e+00,9.996048641753726427e-01,4.483114025788381696e-05,9.040967822074890137e-01,9.999998807907104492e-01,9.912675023078918457e-01,9.998440742492675781e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999991655349731445e-01,9.999958276748657227e-01,9.998124241828918457e-01,9.965716600418090820e-01,9.990426898002624512e-01,9.973536729812622070e-01
0.000000000000000000e+00,8.299656510353088379e-01,1.434978008486065548e-01,4.000000000000000222e-01,1.000000000000000000e+00,1.868730307441823272e-07,2.602781867608428001e-03,8.848601579666137695e-01,8.967968460638076067e-05,3.435492813587188721e-01,4.246661067008972168e-01,5.167959332466125488e-01,7.741584777832031250e-01,1.773503609001636505e-02,2.383456751704216003e-02,1.781784296035766602e-01,8.740819096565246582e-01,7.420166730880737305e-01,9.168331623077392578e-01
1.000000000000000000e+00,9.560484290122985840e-01,9.447431949791997852e-01,6.999999999999999556e-01,1.000000000000000000e+00,9.999997775198370409e-01,9.824919700622558594e-01,9.986751675605773926e-01,9.999988079071044922e-01,6.931384205818176270e-01,9.999980926513671875e-01,9.997699856758117676e-01,1.000000000000000000e+00,9.964985847473144531e-01,9.996343851089477539e-01,9.998049139976501465e-01,9.991397857666015625e-01,9.990261793136596680e-01,9.588268399238586426e-01
0.000000000000000000e+00,8.027393817901611328e-01,1.800635051156473654e-01,3.499999999999999778e-01,0.000000000000000000e+00,5.259948135391469271e-03,8.648628368973731995e-03,3.236614912748336792e-02,9.079694329727772129e-09,2.425323054194450378e-02,2.370532456552609801e-04,6.125651765614748001e-03,2.814495528582483530e-04,1.676049578236415982e-04,6.442111451178789139e-03,5.113988649100065231e-03,5.948480684310197830e-04,1.138574210926890373e-03,7.657612854927720036e-07
1.000000000000000000e+00,7.894884347915649414e-01,9.792003830307268730e-01,6.800000000000000488e-01,1.000000000000000000e+00,9.999999999999860112e-01,9.992737174034118652e-01,9.816178679466247559e-01,9.999989271163940430e-01,6.610688567161560059e-01,1.000000000000000000e+00,9.986240863800048828e-01,9.561077356338500977e-01,9.998165965080261230e-01,1.000000000000000000e+00,9.977285265922546387e-01,9.812353849411010742e-01,9.950194358825683594e-01,8.858793973922729492e-01
0.000000000000000000e+00,9.030131697654724121e-01,1.586560809390301918e-01,4.699999999999999734e-01,1.000000000000000000e+00,4.006558840542067078e-07,2.851180965080857277e-03,6.471149325370788574e-01,4.706141054630279541e-01,9.144940376281738281e-01,4.088692739605903625e-02,1.204877570271492004e-01,1.102738976478576660e-01,9.729783982038497925e-02,5.848962813615798950e-03,4.574883580207824707e-01,7.060769200325012207e-01,8.424965739250183105e-01,8.378162384033203125e-01
0.000000000000000000e+00,5.382807552814483643e-02,3.409557616812504410e-02,1.600000000000000033e-01,0.000000000000000000e+00,6.014713037180126482e-14,2.863005654774042341e-08,1.417883671820163727e-02,4.386737011373043060e-03,1.207940578460693359e-01,4.834413062781095505e-03,6.961823906749486923e-03,5.360295530408620834e-03,4.382291436195373535e-02,1.177636673673987389e-03,1.343973819166421890e-02,3.059836849570274353e-02,1.171005982905626297e-02,4.335470497608184814e-03
0.000000000000000000e+00,8.901136517524719238e-01,5.909336958259658185e-02,5.100000000000000089e-01,1.000000000000000000e+00,3.040486064843942653e-07,2.468498714733868837e-04,4.164663255214691162e-01,1.803725957870483398e-02,9.357774853706359863e-01,1.096819620579481125e-02,4.177236184477806091e-02,1.459425240755081177e-01,9.699330478906631470e-02,1.018678862601518631e-02,1.311411112546920776e-01,1.178875938057899475e-02,9.908107109367847443e-03,3.694156650453805923e-03
