y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
1.000000000000000000e+00,8.647254109382629395e-01,5.048849037154921199e-02,3.499999999999999778e-01,5.250591982987995670e-10,2.207843675187849878e-06,2.075690463243518025e-05,3.633836209774017334e-01,3.984945639967918396e-02,1.567225456237792969e-01,1.594402454793453217e-02,1.145042106509208679e-01,2.977072075009346008e-02,3.757080435752868652e-02,6.783545017242431641e-03,1.474451646208763123e-02,6.110616773366928101e-02,3.092033974826335907e-02,1.546362489461898804e-01
0.000000000000000000e+00,6.745508313179016113e-02,4.867249494836429768e-01,4.000000000000000222e-01,3.589684825244272953e-16,6.673904002608470006e-06,9.395522996783256531e-03,1.199078708887100220e-01,9.919073581695556641e-01,2.328557521104812622e-01,8.967340588569641113e-01,9.914269447326660156e-01,4.812332335859537125e-03,6.844348907470703125e-01,7.890677661634981632e-04,3.389823436737060547e-02,4.093565512448549271e-03,6.852967739105224609e-01,6.145550608634948730e-01
1.000000000000000000e+00,1.943843513727188110e-01,7.471238882958591843e-01,4.899999999999999911e-01,9.999128876932845689e-01,9.999999870655311707e-01,9.999877214431762695e-01,9.986007809638977051e-01,9.572960138320922852e-01,3.639850318431854248e-01,3.175522685050964355e-01,1.283663045614957809e-02,2.666805870831012726e-02,1.389317214488983154e-01,9.859472513198852539e-01,9.766652584075927734e-01,9.717239141464233398e-01,9.854089617729187012e-01,9.761764407157897949e-01
1.000000000000000000e+00,5.066935420036315918e-01,8.666475753297647744e-01,5.999999999999999778e-01,1.000000000000000000e+00,2.549470352565402775e-02,6.264206953346729279e-03,9.984220266342163086e-01,1.000000000000000000e+00,9.960313439369201660e-01,9.999996423721313477e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999973773956298828e-01,1.000000000000000000e+00,9.999774694442749023e-01,9.987344145774841309e-01,9.987522363662719727e-01,9.931879043579101562e-01
0.000000000000000000e+00,7.146754860877990723e-02,1.558955865983778777e-01,2.899999999999999800e-01,5.227933520612979557e-01,1.692015881738533500e-06,9.793798380997031927e-05,4.820226728916168213e-01,7.215063087642192841e-03,2.311504781246185303e-01,6.136870477348566055e-03,4.158571362495422363e-03,7.372690597549080849e-04,3.231110572814941406e-01,8.908187039196491241e-03,9.887737035751342773e-01,7.079930901527404785e-01,6.617469787597656250e-01,1.765065453946590424e-02
1.000000000000000000e+00,8.861881494522094727e-01,9.652472848029369779e-01,7.900000000000000355e-01,1.000000000000000000e+00,9.993393530112864021e-01,8.533391356468200684e-01,9.798664599657058716e-02,2.880481779575347900e-01,2.566808760166168213e-01,8.213462424464523792e-04,6.237478810362517834e-04,9.652148485183715820e-01,3.445287942886352539e-01,2.500637248158454895e-02,5.673941690474748611e-03,9.197865724563598633e-01,9.716042876243591309e-01,8.450146913528442383e-01
0.000000000000000000e+00,3.948027268052101135e-02,5.643737667095706512e-02,2.000000000000000111e-01,6.053514774205372034e-10,6.518977279059696810e-04,1.351202577352523804e-01,1.047235950827598572e-01,4.816047294298186898e-06,8.048491179943084717e-02,8.785326965153217316e-03,1.654918119311332703e-02,2.563446993008255959e-03,2.569010248407721519e-03,5.436722934246063232e-02,6.752679497003555298e-02,1.498239696957170963e-03,9.480444714426994324e-05,3.880146890878677368e-03
0.000000000000000000e+00,4.006076455116271973e-01,2.006866708636541596e-01,5.400000000000000355e-01,1.312884223564587509e-10,2.558922747669185502e-04,1.746565394569188356e-04,1.320055889664217830e-04,1.628803261155553628e-07,6.125556826591491699e-01,4.326953785493969917e-04,1.452642725780606270e-03,1.221119146794080734e-02,2.508340112399309874e-04,1.461956067942082882e-03,8.628121577203273773e-03,1.743038301356136799e-04,2.663823834154754877e-04,7.485157111659646034e-04
0.000000000000000000e+00,4.986559972167015076e-02,2.827445576143270412e-01,3.200000000000000067e-01,7.921102192061300700e-11,4.273854611546885614e-05,3.756318092346191406e-01,1.037508621811866760e-01,3.088891878724098206e-02,9.634241461753845215e-01,9.457023739814758301e-01,4.722945690155029297e-01,6.212249398231506348e-01,9.013184905052185059e-01,9.995169639587402344e-01,9.752156734466552734e-01,3.601616322994232178e-01,1.882167607545852661e-01,3.979115933179855347e-02
1.000000000000000000e+00,5.337858200073242188e-01,9.723006334637768200e-01,5.100000000000000089e-01,1.137098876848416590e-03,9.999999999999038547e-01,9.999543428421020508e-01,9.993796348571777344e-01,9.999985694885253906e-01,9.512022733688354492e-01,1.000000000000000000e+00,9.999806880950927734e-01,9.999936819076538086e-01,9.998002648353576660e-01,9.889835715293884277e-01,9.999833106994628906e-01,9.999806880950927734e-01,9.877139329910278320e-01,9.936521053314208984e-01
1.000000000000000000e+00,9.305062890052795410e-01,9.491226947784385803e-01,6.500000000000000222e-01,1.000000000000000000e+00,9.999999949929079257e-01,6.600815057754516602e-02,9.933192729949951172e-01,9.998509883880615234e-01,4.087609648704528809e-01,9.947202205657958984e-01,9.999724626541137695e-01,9.994563460350036621e-01,8.492356538772583008e-02,9.999983310699462891e-01,9.853031635284423828e-01,9.834920763969421387e-01,9.949524402618408203e-01,9.564204812049865723e-01
1.000000000000000000e+00,7.922157645225524902e-02,6.734778794769289423e-01,5.400000000000000355e-01,9.690909558958142600e-02,7.844983723948819831e-06,4.225903376936912537e-02,5.571548342704772949e-01,9.331849813461303711e-01,7.267866134643554688e-01,2.387739419937133789e-01,1.333035156130790710e-02,9.665474295616149902e-01,8.682298064231872559e-01,6.406607627868652344e-01,1.063139550387859344e-02,5.772548317909240723e-01,8.740969300270080566e-01,6.667000651359558105e-01
1.000000000000000000e+00,1.697576940059661865e-01,9.708848944131669434e-01,5.999999999999999778e-01,3.440588462820094244e-11,9.999999999999995559e-01,9.999996423721313477e-01,6.272165775299072266e-01,9.893943667411804199e-01,9.045885801315307617e-01,9.994606375694274902e-01,9.922709465026855469e-01,9.995546936988830566e-01,9.998660087585449219e-01,9.998213648796081543e-01,9.841452240943908691e-01,9.958032965660095215e-01,9.475926160812377930e-01,5.199974775314331055e-01
0.000000000000000000e+00,4.360209777951240540e-02,1.969400339420903923e-01,4.299999999999999933e-01,5.466340059702797133e-09,8.089117440675545057e-01,5.506926825660229952e-08,8.113791942596435547e-01,6.599492859095335007e-03,5.140913724899291992e-01,3.643525838851928711e-01,9.783517718315124512e-01,4.103308618068695068e-01,2.562726736068725586e-01,9.311821311712265015e-03,1.707006543874740601e-01,9.044457674026489258e-01,7.146664857864379883e-01,9.922843575477600098e-01
1.000000000000000000e+00,9.222245216369628906e-01,2.734181503011246517e-01,4.899999999999999911e-01,1.000000000000000000e+00,6.589336670019780651e-04,9.712906479835510254e-01,3.308398425579071045e-01,9.999308586120605469e-01,3.047333061695098877e-01,5.585591793060302734e-01,1.176196858286857605e-01,8.966051042079925537e-02,1.872122101485729218e-02,9.863746166229248047e-01,9.619300365447998047e-01,5.726447701454162598e-01,9.872961044311523438e-01,9.854891896247863770e-01
0.000000000000000000e+00,4.295894503593444824e-01,5.821154920113731646e-02,3.599999999999999867e-01,8.001576673704316120e-03,2.999701800801261105e-07,8.224433660507202148e-01,2.391690313816070557e-01,5.284306462272070348e-05,7.779229879379272461e-01,3.288171719759702682e-03,1.113451179116964340e-02,2.758923768997192383e-01,1.807914488017559052e-02,2.902609994634985924e-04,1.242888160049915314e-02,1.917226618388667703e-04,3.838929813355207443e-03,3.880472620949149132e-03
0.000000000000000000e+00,1.117186900228261948e-02,3.482352361706017030e-01,2.899999999999999800e-01,3.310542074626389956e-13,3.464416645246540805e-01,1.150347292423248291e-02,6.452577114105224609e-01,1.528082601726055145e-02,5.139334201812744141e-01,3.976566344499588013e-02,1.025810390710830688e-01,6.014475226402282715e-01,4.477211460471153259e-02,1.419140142388641834e-03,7.983428239822387695e-01,6.717468500137329102e-01,2.593769459053874016e-03,2.242353558540344238e-01
0.000000000000000000e+00,9.186252951622009277e-01,6.125101744860829145e-01,4.299999999999999933e-01,1.493538470338733049e-01,9.999181367482927740e-01,3.688504875754006207e-05,8.549771155230700970e-04,2.724689838942140341e-04,9.374712705612182617e-01,3.095138967037200928e-01,9.952434897422790527e-01,9.989368319511413574e-01,9.942627549171447754e-01,9.827864170074462891e-02,9.999041557312011719e-01,5.931620034971274436e-05,4.090785514563322067e-04,1.338157453574240208e-04
0.000000000000000000e+00,1.500565111637115479e-01,2.085006730493562943e-01,3.800000000000000044e-01,9.999999700760332511e-01,4.702117948463102452e-04,1.175821525976061821e-03,2.367674112319946289e-01,2.115574432536959648e-03,2.318131923675537109e-01,6.584383081644773483e-03,2.675528526306152344e-01,8.408644353039562702e-04,2.379347715759649873e-04,8.642742177471518517e-04,5.563727393746376038e-02,9.914872646331787109e-01,1.793982386589050293e-01,5.201867967844009399e-02
1.000000000000000000e+00,8.529626727104187012e-01,6.252947275382211290e-01,6.300000000000000044e-01,3.689489233303130378e-17,9.987929628902155743e-01,9.999961853027343750e-01,9.941709637641906738e-01,9.982195496559143066e-01,9.759390354156494141e-01,9.999859333038330078e-01,4.670436382293701172e-01,5.266011506319046021e-02,9.999779462814331055e-01,1.000000000000000000e+00,9.728144407272338867e-01,6.131377816200256348e-01,9.634451270103454590e-01,1.630189865827560425e-01
0.000000000000000000e+00,1.224837228655815125e-01,4.241285145265474843e-02,3.300000000000000155e-01,4.699283130704230569e-13,7.101730215942048772e-10,7.486676331609487534e-03,1.941952854394912720e-03,1.951406557054724544e-05,6.664794087409973145e-01,2.527683100197464228e-04,4.710077773779630661e-04,6.492123752832412720e-02,2.369560825172811747e-04,1.286885380977764726e-04,5.368897691369056702e-03,1.405424252152442932e-02,9.813336655497550964e-04,1.843929756432771683e-03
0.000000000000000000e+00,1.810456253588199615e-02,3.161097519519508875e-02,8.999999999999999667e-02,1.258624235482285090e-17,1.530091618566117704e-08,1.906496763695031404e-04,2.039134269580245018e-03,3.078032023040577769e-05,1.818886958062648773e-02,2.373787137912586331e-04,2.060170518234372139e-03,8.234052074840292335e-05,1.257816096767783165e-03,3.245803236495703459e-04,2.666455134749412537e-02,4.897575490758754313e-05,8.221365715144202113e-05,9.688524296507239342e-04
0.000000000000000000e+00,7.755244970321655273e-01,8.332407324914746782e-01,5.899999999999999689e-01,1.705760354583695019e-11,9.999875309340097163e-01,2.374205738306045532e-03,2.617335915565490723e-01,3.294914662837982178e-01,8.807374835014343262e-01,7.099566608667373657e-02,9.998328685760498047e-01,9.912944436073303223e-01,9.713858962059020996e-01,9.164560437202453613e-01,9.433699846267700195e-01,2.588706091046333313e-02,6.392534375190734863e-01,3.527882099151611328e-01
