y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
1.000000000000000000e+00,8.249408602714538574e-01,5.441789881376616345e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999932332400487400e-01,9.971292614936828613e-01,5.711509585380554199e-01,9.960916638374328613e-01,9.561393260955810547e-01,8.875078558921813965e-01,9.224089384078979492e-01,8.151524066925048828e-01,7.540596127510070801e-01,6.323320269584655762e-01,6.765537858009338379e-01,6.905094385147094727e-01,6.926380991935729980e-01,7.014595866203308105e-01
0.000000000000000000e+00,2.623260319232940674e-01,4.479778454314597980e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.065815580352008200e-05,8.269544690847396851e-03,3.503937721252441406e-01,5.426675784292456228e-07,9.810201823711395264e-03,1.154680212493985891e-04,2.264490603920421563e-06,3.113036655122414231e-06,5.650037201121449471e-04,1.677090674638748169e-02,3.988173324614763260e-03,5.145946983247995377e-03,2.089428529143333435e-02,1.273450069129467010e-02
1.000000000000000000e+00,7.457250952720642090e-01,5.077491161857763391e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999999335218294760e-01,9.938581585884094238e-01,6.403986811637878418e-01,9.999718666076660156e-01,9.871311783790588379e-01,9.523540735244750977e-01,9.543536305427551270e-01,9.238512516021728516e-01,9.776666760444641113e-01,8.071349263191223145e-01,8.070431351661682129e-01,8.501942157745361328e-01,7.201856970787048340e-01,7.521775364875793457e-01
1.000000000000000000e+00,5.603066086769104004e-01,5.102539218318654646e-01,6.112068965517241104e-01,1.000000000000000000e+00,9.999978457197808979e-01,9.885455965995788574e-01,5.575433969497680664e-01,9.999482631683349609e-01,9.074800014495849609e-01,7.296618819236755371e-01,9.513587951660156250e-01,8.830262422561645508e-01,6.579332351684570312e-01,7.106652259826660156e-01,8.013640046119689941e-01,4.352091550827026367e-01,6.499791145324707031e-01,6.361048221588134766e-01
0.000000000000000000e+00,3.509548306465148926e-01,5.303844625833734616e-01,9.631299734748011154e-01,1.000000000000000000e+00,2.166087832464982099e-01,3.557401299476623535e-01,3.800776302814483643e-01,1.098128929734230042e-01,7.984683513641357422e-01,3.179718255996704102e-01,6.620592474937438965e-01,6.747065186500549316e-01,2.223672531545162201e-02,1.395027786493301392e-01,1.654695868492126465e-01,4.061055779457092285e-01,4.834214746952056885e-01,4.096762835979461670e-01
0.000000000000000000e+00,1.776883453130722046e-01,4.849257195493252293e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.785599657334561181e-10,2.279498687585146399e-07,3.423874080181121826e-01,9.923806246295860736e-16,3.795540542341768742e-04,4.461331651328670489e-11,1.147296366324721684e-17,1.718077293329789965e-16,1.512166181782959029e-05,5.216537829255685210e-06,2.886584261432290077e-04,2.754445304162800312e-04,1.238645170815289021e-03,2.607422880828380585e-03
1.000000000000000000e+00,8.249408602714538574e-01,5.233015047937139563e-01,6.112068965517241104e-01,1.000000000000000000e+00,9.999095536639994730e-01,9.838467836380004883e-01,5.531358122825622559e-01,9.999734163284301758e-01,9.952874183654785156e-01,9.703407883644104004e-01,9.749250411987304688e-01,9.478827714920043945e-01,9.816479682922363281e-01,8.901436924934387207e-01,8.259557485580444336e-01,9.302786588668823242e-01,8.045278191566467285e-01,8.043670654296875000e-01
0.000000000000000000e+00,8.249408602714538574e-01,5.279512109301333078e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999266282682939266e-01,9.944420456886291504e-01,5.427150130271911621e-01,9.951364398002624512e-01,9.701046943664550781e-01,9.451392292976379395e-01,9.470401406288146973e-01,9.301230907440185547e-01,9.946728348731994629e-01,8.327497243881225586e-01,8.049606084823608398e-01,8.330952525138854980e-01,7.002575993537902832e-01,8.207253217697143555e-01
0.000000000000000000e+00,8.214360475540161133e-01,5.382174316872253561e-01,9.631299734748011154e-01,1.000000000000000000e+00,5.763835634615966930e-01,9.614106416702270508e-01,4.845763742923736572e-01,2.254007905721664429e-01,9.596636295318603516e-01,8.953784108161926270e-01,9.420062303543090820e-01,9.148309230804443359e-01,5.250599980354309082e-01,4.919615685939788818e-01,6.659474372863769531e-01,5.508018732070922852e-01,5.235052108764648438e-01,4.908375442028045654e-01
1.000000000000000000e+00,8.249408602714538574e-01,5.412495996255509700e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.995472921823294055e-01,9.942882061004638672e-01,5.153080821037292480e-01,9.999804496765136719e-01,9.906938672065734863e-01,9.490755200386047363e-01,9.217548370361328125e-01,8.711339831352233887e-01,9.550862908363342285e-01,8.560499548912048340e-01,7.235219478607177734e-01,8.416872024536132812e-01,7.231354117393493652e-01,6.642264723777770996e-01
1.000000000000000000e+00,3.177455961704254150e-01,5.130701832644976035e-01,4.862068965517241104e-01,1.000000000000000000e+00,9.994519722446839616e-01,9.238649606704711914e-01,4.815135300159454346e-01,9.890979528427124023e-01,8.632292151451110840e-01,7.608334422111511230e-01,8.584319949150085449e-01,5.040859580039978027e-01,6.252029538154602051e-01,7.259090542793273926e-01,3.886556029319763184e-01,6.171192526817321777e-01,5.789536833763122559e-01,5.929552912712097168e-01
1.000000000000000000e+00,8.249408602714538574e-01,5.408271120725165471e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999999985603351682e-01,9.976953864097595215e-01,6.038216352462768555e-01,9.999923706054687500e-01,9.974328875541687012e-01,9.854294061660766602e-01,9.759732484817504883e-01,9.663972258567810059e-01,9.893463253974914551e-01,8.855872154235839844e-01,8.414925932884216309e-01,8.274746537208557129e-01,7.615460157394409180e-01,8.133026957511901855e-01
1.000000000000000000e+00,7.016827464103698730e-01,5.540912207486187180e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999875010220204974e-01,9.967414736747741699e-01,5.205647349357604980e-01,9.999989271163940430e-01,9.962665438652038574e-01,9.869073629379272461e-01,9.821196198463439941e-01,9.449065327644348145e-01,9.970896840095520020e-01,8.881223797798156738e-01,8.236131668090820312e-01,8.040149807929992676e-01,8.096057176589965820e-01,8.149668574333190918e-01
0.000000000000000000e+00,1.776900887489318848e-01,4.900911212573916820e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.105338889412975430e-07,1.467272755689918995e-03,3.979551196098327637e-01,8.031158515997560698e-10,2.026228457689285278e-01,1.183221343126206193e-07,7.960744287079449255e-14,9.812790770918899952e-13,4.051152616739273071e-03,6.560616893693804741e-04,2.808954799547791481e-03,1.985145267099142075e-03,9.908116422593593597e-03,1.097590196877717972e-02
0.000000000000000000e+00,5.191353559494018555e-01,4.759300769053829705e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.666808627221315176e-01,1.541461388114839792e-04,3.684434592723846436e-01,8.963499453784606885e-08,4.025704413652420044e-02,2.264678732899483293e-05,3.766739666843932355e-07,7.213996582322579343e-07,1.112938160076737404e-03,2.802449744194746017e-03,7.595406379550695419e-03,9.749588556587696075e-03,8.446812629699707031e-03,2.679614722728729248e-02
0.000000000000000000e+00,3.484115302562713623e-01,5.312742319247470979e-01,5.394230769230770051e-01,1.000000000000000000e+00,2.487968224524567583e-06,8.399042487144470215e-02,4.626310169696807861e-01,2.623820677399635315e-03,4.902315437793731689e-01,1.171058118343353271e-01,6.575967669486999512e-01,5.116881728172302246e-01,4.482484608888626099e-02,3.556617498397827148e-01,2.651875019073486328e-01,3.908567428588867188e-01,5.307627916336059570e-01,5.164357423782348633e-01
0.000000000000000000e+00,2.564796507358551025e-01,4.749323827107387319e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.678011193240884734e-09,1.210516318678855896e-02,5.088551640510559082e-01,7.643101298526744358e-07,7.074746303260326385e-03,1.411578501574695110e-03,5.651538958773016930e-05,8.546499884687364101e-05,6.156614515930414200e-03,3.880096832290291786e-03,5.841699615120887756e-02,3.679634258151054382e-02,5.486507713794708252e-02,7.638645172119140625e-02
1.000000000000000000e+00,8.249408602714538574e-01,5.104865853399566111e-01,4.862068965517241104e-01,1.000000000000000000e+00,9.999999797144445424e-01,9.986339211463928223e-01,6.361106038093566895e-01,9.999992847442626953e-01,9.555529356002807617e-01,9.706358909606933594e-01,9.729154109954833984e-01,9.603330492973327637e-01,9.699203372001647949e-01,8.718358874320983887e-01,8.486250638961791992e-01,9.336907267570495605e-01,7.812772393226623535e-01,7.119370698928833008e-01
0.000000000000000000e+00,4.683478772640228271e-01,5.317260545373011515e-01,5.394230769230770051e-01,1.000000000000000000e+00,2.113471648683939996e-02,1.951516568660736084e-01,4.698019027709960938e-01,2.507626116275787354e-01,8.424207568168640137e-01,7.076650261878967285e-01,9.445726275444030762e-01,9.247292876243591309e-01,1.432005167007446289e-01,5.148320198059082031e-01,7.423610091209411621e-01,5.613068342208862305e-01,6.560478210449218750e-01,6.929706931114196777e-01
1.000000000000000000e+00,7.660053372383117676e-01,5.448749845107371259e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.995476611468419037e-01,9.710222482681274414e-01,5.673664808273315430e-01,9.999786615371704102e-01,9.945412278175354004e-01,9.652709364891052246e-01,9.816269278526306152e-01,9.601845145225524902e-01,9.854352474212646484e-01,8.825318217277526855e-01,8.359646797180175781e-01,9.244659543037414551e-01,7.881953716278076172e-01,7.361650466918945312e-01
0.000000000000000000e+00,3.372097909450531006e-01,4.742916791703683521e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.561082575400874361e-07,9.985436918213963509e-06,3.605278730392456055e-01,1.470439201511908323e-07,6.613535434007644653e-02,5.727611278416588902e-05,2.693172795886766835e-09,4.370560446886884165e-08,1.294958684593439102e-02,4.557725042104721069e-03,3.329223021864891052e-02,2.469446323812007904e-02,7.980079948902130127e-02,3.002093359827995300e-02
0.000000000000000000e+00,1.742428988218307495e-01,4.151643171104211771e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.866340816125956327e-08,9.742580914462450892e-06,3.825876712799072266e-01,2.460839088058719426e-09,1.225394778884947300e-03,1.111551114263420459e-06,3.578270318937981642e-11,2.589360392768469410e-10,6.165382801555097103e-04,3.525320498738437891e-04,3.046887693926692009e-03,1.431431970559060574e-03,2.283804584294557571e-03,9.279350750148296356e-03
1.000000000000000000e+00,8.249408602714538574e-01,5.523280860217756327e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999992253962544098e-01,9.986664056777954102e-01,6.019026637077331543e-01,9.999989271163940430e-01,9.951176643371582031e-01,9.762328863143920898e-01,9.890021085739135742e-01,9.488159418106079102e-01,9.875433444976806641e-01,8.867237567901611328e-01,8.448547124862670898e-01,9.195744991302490234e-01,8.338450789451599121e-01,8.186425566673278809e-01
1.000000000000000000e+00,8.249408602714538574e-01,5.393480902835446900e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999999594128828884e-01,9.978273510932922363e-01,6.324895024299621582e-01,9.999996423721313477e-01,9.967227578163146973e-01,9.880631566047668457e-01,9.889401793479919434e-01,9.702349901199340820e-01,9.803962707519531250e-01,9.037626981735229492e-01,8.714249730110168457e-01,9.361254572868347168e-01,8.453113436698913574e-01,8.193363547325134277e-01
1.000000000000000000e+00,8.249408602714538574e-01,5.000000000000000000e-01,9.862068965517241104e-01,0.000000000000000000e+00,9.999999998578865679e-01,9.941178560256958008e-01,5.557343363761901855e-01,9.999984502792358398e-01,9.489437937736511230e-01,8.634650707244873047e-01,9.765303730964660645e-01,9.478659629821777344e-01,9.134985804557800293e-01,8.244333267211914062e-01,8.132894635200500488e-01,7.634801268577575684e-01,7.441086769104003906e-01,6.860658526420593262e-01
