y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
1.000000000000000000e+00,4.903985261917114258e-01,5.365087860815479504e-01,0.000000000000000000e+00,9.999999999994315658e-01,9.775423173547779232e-01,7.348334193229675293e-01,5.289567112922668457e-01,9.496471881866455078e-01,9.616713523864746094e-01,5.926929116249084473e-01,8.464778065681457520e-01,7.675343751907348633e-01,1.487954258918762207e-01,3.070267736911773682e-01,1.295712590217590332e-01,6.496530771255493164e-01,5.059347748756408691e-01,5.360317230224609375e-01
1.000000000000000000e+00,7.392657399177551270e-01,5.435207322019622866e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999983460256085532e-01,9.931542873382568359e-01,6.040730476379394531e-01,9.961106181144714355e-01,9.759672284126281738e-01,9.501552581787109375e-01,9.774355292320251465e-01,9.431297183036804199e-01,9.923592209815979004e-01,8.996007442474365234e-01,8.483310341835021973e-01,7.914541363716125488e-01,8.233597278594970703e-01,8.014402985572814941e-01
1.000000000000000000e+00,8.249408602714538574e-01,5.478863337371051578e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999986744407908246e-01,9.996852874755859375e-01,5.732781887054443359e-01,9.999216794967651367e-01,9.979057312011718750e-01,9.870064258575439453e-01,9.850820302963256836e-01,9.597445726394653320e-01,9.721319079399108887e-01,9.087422490119934082e-01,8.501649498939514160e-01,9.424104094505310059e-01,8.220887184143066406e-01,8.497086763381958008e-01
0.000000000000000000e+00,4.581007659435272217e-01,4.195124001635284761e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.105311710907824206e-07,4.687607288360595703e-01,3.868108689785003662e-01,1.279950356547487900e-05,3.121101995930075645e-03,7.539772894233465195e-03,2.454736968502402306e-03,1.678217959124594927e-04,4.630132392048835754e-02,2.662560902535915375e-02,7.158061116933822632e-02,2.528795972466468811e-02,1.163068488240242004e-01,1.903439909219741821e-01
1.000000000000000000e+00,8.249408602714538574e-01,5.250425577091522022e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999999116427582546e-01,9.992484450340270996e-01,5.233379602432250977e-01,9.995835423469543457e-01,9.815853834152221680e-01,9.793927669525146484e-01,9.834495186805725098e-01,9.691408276557922363e-01,9.755750894546508789e-01,9.041958451271057129e-01,8.010234832763671875e-01,8.795740604400634766e-01,7.820758819580078125e-01,8.299267888069152832e-01
0.000000000000000000e+00,1.782162636518478394e-01,4.066189397375511438e-01,0.000000000000000000e+00,2.980415094623049091e-114,2.373222190960391094e-11,3.670755432949590613e-08,3.231881558895111084e-01,6.691701082139900336e-10,1.179118989966809750e-03,7.411961746583983768e-07,1.685593341574571132e-15,5.498380071557174009e-13,4.119061923120170832e-04,1.298150280490517616e-03,1.477915560826659203e-03,1.150122494436800480e-03,3.844469785690307617e-03,8.367252536118030548e-03
1.000000000000000000e+00,8.249408602714538574e-01,5.087479387328229796e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.999108015441098285e-01,9.957576394081115723e-01,6.070349812507629395e-01,9.612493515014648438e-01,9.918483495712280273e-01,9.381448626518249512e-01,9.813211560249328613e-01,9.693552255630493164e-01,9.445093870162963867e-01,8.998967409133911133e-01,8.597350120544433594e-01,9.471874237060546875e-01,8.396971225738525391e-01,8.207820653915405273e-01
0.000000000000000000e+00,1.742428988218307495e-01,5.192343015875687806e-01,5.000000000000000000e-01,1.528083462197430966e-38,1.804803264106691303e-05,1.386969909071922302e-02,3.677648901939392090e-01,3.353894862812012434e-05,2.138060890138149261e-02,2.582062152214348316e-04,2.981930492751416750e-06,5.412075552158057690e-07,3.676662966609001160e-02,1.943373121321201324e-02,3.097081780433654785e-01,6.006461009383201599e-02,1.020732671022415161e-01,9.004984796047210693e-02
0.000000000000000000e+00,1.798933446407318115e-01,4.937286223243259053e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.252489724431129936e-01,5.068361060693860054e-04,3.714197278022766113e-01,3.448199640843085945e-05,5.431588273495435715e-03,4.459702468011528254e-04,5.099491681903600693e-03,2.559542097151279449e-02,3.482537111267447472e-03,6.185155827552080154e-03,1.143236365169286728e-02,1.735769025981426239e-02,3.445404022932052612e-02,5.204653739929199219e-02
1.000000000000000000e+00,7.449311017990112305e-01,5.299854810934487848e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999267997373658678e-01,9.992296695709228516e-01,5.703627467155456543e-01,9.044623374938964844e-01,9.752878546714782715e-01,8.596792221069335938e-01,9.735085368156433105e-01,9.625757336616516113e-01,8.933274149894714355e-01,7.802401781082153320e-01,8.373305797576904297e-01,8.428825139999389648e-01,7.773503661155700684e-01,7.694176435470581055e-01
1.000000000000000000e+00,4.685087203979492188e-01,5.329309633033371130e-01,9.631299734748011154e-01,1.000000000000000000e+00,2.138165999226223149e-02,8.798960447311401367e-01,4.437922835350036621e-01,1.782526969909667969e-01,8.229282498359680176e-01,5.784989595413208008e-01,5.049580931663513184e-01,5.365815758705139160e-01,8.391834795475006104e-02,5.308819413185119629e-01,1.533123999834060669e-01,1.992168724536895752e-01,4.470202326774597168e-01,1.983309835195541382e-01
0.000000000000000000e+00,1.742428988218307495e-01,5.246178166855544056e-01,5.000000000000000000e-01,1.206990132111433788e-07,1.090727859085736137e-04,3.820216748863458633e-03,3.639543056488037109e-01,1.345986078149508103e-07,2.373324707150459290e-02,1.817859924813092221e-06,1.659031245715425484e-10,7.705568405569351853e-10,7.058987393975257874e-03,5.351548315957188606e-04,7.474637776613235474e-02,1.174311153590679169e-02,1.180873531848192215e-02,2.278463356196880341e-02
1.000000000000000000e+00,8.249408602714538574e-01,5.192531583106204662e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999999416885180237e-01,9.978073239326477051e-01,7.017385959625244141e-01,9.697791337966918945e-01,9.832229018211364746e-01,9.305626153945922852e-01,9.749302268028259277e-01,9.754874706268310547e-01,9.525786638259887695e-01,8.760422468185424805e-01,8.580802679061889648e-01,9.262334108352661133e-01,8.519394397735595703e-01,8.404756784439086914e-01
0.000000000000000000e+00,1.890347152948379517e-01,5.000000000000000000e-01,0.000000000000000000e+00,8.931189725174630890e-42,7.453522656377440487e-05,1.061497528098698240e-06,3.970182538032531738e-01,5.640114070226687204e-11,5.753290653228759766e-02,4.679510468008629687e-08,2.079258640264036728e-12,3.190894423688028780e-11,2.558041342126671225e-05,3.727458824869245291e-04,6.406184984371066093e-04,7.397696026600897312e-04,2.626846078783273697e-03,6.691417656838893890e-03
1.000000000000000000e+00,2.502299249172210693e-01,5.438085665392796697e-01,9.477453580901856744e-01,1.000000000000000000e+00,9.998696175312349332e-01,7.705141901969909668e-01,3.744566142559051514e-01,9.108306169509887695e-01,9.681163430213928223e-01,4.280492663383483887e-01,3.724703192710876465e-01,1.271031498908996582e-01,1.766232550144195557e-01,3.129704594612121582e-01,4.580574631690979004e-01,5.253763198852539062e-01,4.112154543399810791e-01,4.415405392646789551e-01
1.000000000000000000e+00,1.782162636518478394e-01,5.402732371576097758e-01,9.477453580901856744e-01,1.000000000000000000e+00,9.999933383814348931e-01,8.038155436515808105e-01,5.115888118743896484e-01,8.726216554641723633e-01,9.930979609489440918e-01,7.541425228118896484e-01,7.104184031486511230e-01,7.811986804008483887e-01,6.321551203727722168e-01,6.122224926948547363e-01,3.528237044811248779e-01,5.778967142105102539e-01,5.286502838134765625e-01,6.398634910583496094e-01
1.000000000000000000e+00,8.249408602714538574e-01,5.351062249536745474e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999683995435929562e-01,9.193254709243774414e-01,5.957016944885253906e-01,9.981958270072937012e-01,9.570985436439514160e-01,9.809110164642333984e-01,9.847085475921630859e-01,9.653960466384887695e-01,9.863753914833068848e-01,8.729167580604553223e-01,8.545268177986145020e-01,9.370937943458557129e-01,7.890366315841674805e-01,8.261455297470092773e-01
0.000000000000000000e+00,7.046905755996704102e-01,4.705316425854756401e-01,1.250000000000000000e-01,1.000000000000000000e+00,3.218278365447015954e-01,9.675747752189636230e-01,4.880415201187133789e-01,6.187902763485908508e-03,5.678720772266387939e-02,8.291410654783248901e-02,6.540516763925552368e-02,4.252316895872354507e-03,8.764953911304473877e-02,1.303327977657318115e-01,7.680463790893554688e-02,8.878743648529052734e-02,2.238799035549163818e-01,2.453410178422927856e-01
1.000000000000000000e+00,6.125245690345764160e-01,5.349182703594685950e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999885421739934666e-01,9.930406808853149414e-01,5.517867207527160645e-01,9.999504089355468750e-01,9.963854551315307617e-01,9.815140366554260254e-01,9.902415871620178223e-01,9.700218439102172852e-01,9.953637123107910156e-01,9.000906348228454590e-01,8.594854474067687988e-01,9.465670585632324219e-01,8.163505792617797852e-01,8.479417562484741211e-01
1.000000000000000000e+00,7.798580527305603027e-01,5.105261653778182529e-01,9.631299734748011154e-01,2.336795048954711382e-34,9.999998524917848020e-01,9.989569187164306641e-01,5.889825224876403809e-01,8.922091722488403320e-01,9.730634689331054688e-01,9.597419500350952148e-01,9.786020517349243164e-01,9.736384749412536621e-01,9.951620697975158691e-01,8.475707769393920898e-01,8.549103736877441406e-01,8.107079863548278809e-01,7.996113300323486328e-01,7.869348526000976562e-01
0.000000000000000000e+00,2.550351619720458984e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.540733720626744768e-03,8.405254036188125610e-02,5.840829014778137207e-01,1.978133572265505791e-03,1.176639795303344727e-01,3.952638804912567139e-01,8.785875439643859863e-01,4.054273366928100586e-01,2.200873494148254395e-01,2.553053200244903564e-01,3.598479330539703369e-01,5.647072196006774902e-01,6.072873473167419434e-01,6.703566908836364746e-01
1.000000000000000000e+00,8.214360475540161133e-01,5.439729247972906467e-01,9.631299734748011154e-01,1.000000000000000000e+00,9.999999875858237575e-01,9.960480332374572754e-01,6.179235577583312988e-01,9.971599578857421875e-01,9.979777932167053223e-01,9.756465554237365723e-01,9.863790273666381836e-01,9.663986563682556152e-01,9.704524874687194824e-01,9.226230978965759277e-01,8.767680525779724121e-01,9.410575032234191895e-01,8.283101320266723633e-01,8.377910256385803223e-01
0.000000000000000000e+00,5.443241596221923828e-01,5.377289117505492655e-01,9.631299734748011154e-01,9.999999999989768185e-01,5.290746620475131889e-01,9.753798246383666992e-01,4.970215857028961182e-01,9.772651791572570801e-01,9.551195502281188965e-01,8.766406774520874023e-01,9.839509725570678711e-01,9.687387347221374512e-01,5.708649754524230957e-01,5.981157422065734863e-01,3.806502223014831543e-01,5.854361653327941895e-01,6.292388439178466797e-01,7.101236581802368164e-01
0.000000000000000000e+00,3.350746631622314453e-01,4.863780997096529002e-01,5.000000000000000000e-01,1.000000000000000000e+00,4.635628398160069856e-09,8.461379366053733975e-06,3.081159293651580811e-01,3.145205118926241994e-05,9.693928062915802002e-02,3.123542410321533680e-04,7.278932607732713223e-04,1.219811849296092987e-03,5.901376251131296158e-03,5.958107765763998032e-03,2.073364146053791046e-02,1.672342605888843536e-02,2.284451946616172791e-02,6.914099305868148804e-02
0.000000000000000000e+00,4.583069384098052979e-01,4.110087025252138759e-01,0.000000000000000000e+00,5.733597047334914484e-24,2.228700297463916515e-07,4.845133423805236816e-02,3.834575712680816650e-01,7.253220246639102697e-06,1.359883812256157398e-03,2.806484699249267578e-02,1.105804913095198572e-04,1.967476600839290768e-05,7.482439279556274414e-02,2.178492099046707153e-01,1.820093542337417603e-01,5.464289337396621704e-02,1.857391148805618286e-01,1.625154763460159302e-01
0.000000000000000000e+00,3.212558031082153320e-01,4.716727500238983017e-01,0.000000000000000000e+00,9.991990431596443623e-01,5.577202182793943898e-04,1.032006810419261456e-03,4.241314232349395752e-01,6.492679822258651257e-04,9.236024320125579834e-02,1.864820369519293308e-03,1.474847863391914871e-06,4.474840170587413013e-05,2.865515183657407761e-03,1.670756042003631592e-01,1.666747927665710449e-01,8.646926283836364746e-02,8.661627769470214844e-02,1.149070709943771362e-01
0.000000000000000000e+00,1.776900887489318848e-01,4.374762457926600345e-01,2.857142857142856984e-01,9.605711099731922563e-49,1.014439813858194937e-05,1.332513147644931450e-05,3.405874669551849365e-01,8.462560430189114413e-09,8.578413981013000011e-04,1.081309477513059392e-07,1.037089251282319324e-13,1.405137399664024844e-12,3.408742486499249935e-04,1.221804122906178236e-04,1.728194765746593475e-03,1.887495629489421844e-03,3.669899888336658478e-03,4.924351815134286880e-03
