y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
1.000000000000000000e+00,1.662642462179064751e-03,1.118581927222315059e-01,2.999999999999999889e-01,5.226991151177896061e-18,8.791667021189651654e-02,3.161245491355657578e-03,5.447025895118713379e-01,7.322952151298522949e-01,8.813999308188158466e-09,6.365830195136368275e-04,1.122154761105775833e-03,9.429150819778442383e-01,5.684463307261466980e-02,4.379556700587272644e-02,2.264181897044181824e-02,3.514938652515411377e-01,1.919721253216266632e-02,5.080976486206054688e-01
1.000000000000000000e+00,5.280938744544982910e-01,9.603627134654152409e-01,6.099999999999999867e-01,1.250285223643347983e-08,9.999999825116149266e-01,9.999952316284179688e-01,9.967830181121826172e-01,9.898624420166015625e-01,9.999309778213500977e-01,1.000000000000000000e+00,9.970868229866027832e-01,9.999285936355590820e-01,9.995250701904296875e-01,9.998468160629272461e-01,9.999771118164062500e-01,8.062242269515991211e-01,9.970700740814208984e-01,8.846052289009094238e-01
1.000000000000000000e+00,9.972646832466125488e-01,8.270791483310218073e-01,7.700000000000000178e-01,1.833039890940854902e-06,9.999998698601618718e-01,9.999042749404907227e-01,1.895465105772018433e-01,1.662570834159851074e-01,9.999856948852539062e-01,1.967860758304595947e-02,2.782453969120979309e-02,9.999983310699462891e-01,5.033193826675415039e-01,2.136222645640373230e-02,1.152718216180801392e-01,1.725221723318099976e-01,6.955307126045227051e-01,1.441479027271270752e-01
1.000000000000000000e+00,1.261438131332397461e-01,9.965132504836443639e-01,7.900000000000000355e-01,5.819562624284259078e-01,1.000000000000000000e+00,9.961117058992385864e-02,8.541588783264160156e-01,9.756460785865783691e-01,9.494741559028625488e-01,9.999870061874389648e-01,9.999516010284423828e-01,1.227879124598985072e-06,9.998848438262939453e-01,9.999997615814208984e-01,9.998225569725036621e-01,8.354004025459289551e-01,9.970268607139587402e-01,7.471299767494201660e-01
0.000000000000000000e+00,9.581674933433532715e-01,5.137245527825503449e-02,2.800000000000000266e-01,9.166885081320650552e-13,2.696621700639240653e-08,6.274184852372854948e-05,3.867494314908981323e-02,9.520746767520904541e-02,8.066122233867645264e-02,1.176505163311958313e-02,9.086944191949442029e-05,9.999679327011108398e-01,2.569849602878093719e-03,8.653335273265838623e-03,8.075211197137832642e-03,3.408704400062561035e-01,7.665856741368770599e-03,2.992492914199829102e-01
1.000000000000000000e+00,1.006580114364624023e+00,9.867757354970622119e-01,8.199999999999999512e-01,1.000000000000000000e+00,9.999999998662210121e-01,9.813009500503540039e-01,9.999060630798339844e-01,9.871587753295898438e-01,9.999648332595825195e-01,9.999996423721313477e-01,1.000000000000000000e+00,4.468537616081393670e-18,9.999386072158813477e-01,9.999949932098388672e-01,9.999996423721313477e-01,9.108557701110839844e-01,9.997919201850891113e-01,9.656513929367065430e-01
0.000000000000000000e+00,3.175777848809957504e-03,3.593164653106000611e-02,1.600000000000000033e-01,2.485161602736598587e-24,1.593874289398357296e-11,3.628890262916684151e-03,3.501467406749725342e-02,6.780471801757812500e-01,3.566158920875750482e-05,1.207808405160903931e-02,5.931501509621739388e-04,9.953209757804870605e-01,5.019115805625915527e-01,7.386856526136398315e-02,8.082628995180130005e-02,3.026349544525146484e-01,1.147448457777500153e-02,3.208760917186737061e-01
0.000000000000000000e+00,6.505081895738840103e-03,9.893015708748166548e-02,2.800000000000000266e-01,7.609847568873298205e-16,9.035859648734108591e-11,3.759203013032674789e-03,8.763250894844532013e-03,9.231210686266422272e-03,4.756262004375457764e-01,9.828704595565795898e-02,2.371291921008378267e-04,3.261433079160269699e-08,1.567347790114581585e-03,3.729871287941932678e-02,7.478379178792238235e-03,1.923127621412277222e-01,6.045644730329513550e-02,1.437709033489227295e-01
0.000000000000000000e+00,3.477996289730072021e-01,5.879759560825106868e-02,2.700000000000000178e-01,4.220010295483270425e-06,1.282272565791021299e-06,1.147742345929145813e-01,4.381169565021991730e-03,1.103133484721183777e-01,4.690165224019438028e-04,3.151211654767394066e-03,3.802432417869567871e-01,7.199164479970932007e-02,4.254850000143051147e-02,1.084862127900123596e-01,1.163175553083419800e-01,4.593625068664550781e-01,5.089092068374156952e-03,9.830469638109207153e-02
1.000000000000000000e+00,3.081884384155273438e-01,6.508122254943348173e-01,6.600000000000000311e-01,1.902143284524765875e-14,8.928585543589214746e-01,9.582608938217163086e-01,9.913404583930969238e-01,1.427512019872665405e-01,9.999998807907104492e-01,1.389785576611757278e-02,2.977233007550239563e-02,9.762041568756103516e-01,1.167724281549453735e-01,2.748158387839794159e-02,8.770381808280944824e-01,4.277163743972778320e-01,9.817297458648681641e-01,8.359209299087524414e-01
