y, XGB, SVM, RF, NB, LR, AlexNet, GoogLeNet, ShuffleNet, ViT, ResNet34, ResNet50, ResNet101, MobileNetV2, MobileNetV3_l, MobileNetV3_s, MobileViT_s, MobileViT_x_s, MobileViT_xx_s
1.000000000000000000e+00,9.669453501701354980e-01,9.692953448579079145e-01,8.499999999999999778e-01,1.317067094670608899e-18,9.999792150348956188e-01,9.999060630798339844e-01,9.925340414047241211e-01,9.556506872177124023e-01,9.444541931152343750e-01,9.997633099555969238e-01,4.670532047748565674e-01,7.749921679496765137e-01,9.968745708465576172e-01,7.214998006820678711e-01,9.991441965103149414e-01,6.614383459091186523e-01,9.926567673683166504e-01,7.533288002014160156e-01
1.000000000000000000e+00,9.810717105865478516e-01,9.715863346707145354e-01,8.399999999999999689e-01,1.000000000000000000e+00,9.999999999997872813e-01,9.999998807907104492e-01,9.635246992111206055e-01,7.298533916473388672e-01,9.999980926513671875e-01,9.999564886093139648e-01,9.995939135551452637e-01,9.789436459541320801e-01,9.760500192642211914e-01,9.999933242797851562e-01,9.994614720344543457e-01,7.698453664779663086e-01,9.855964183807373047e-01,7.277967929840087891e-01
1.000000000000000000e+00,9.773179888725280762e-01,9.943902455413594632e-01,8.299999999999999600e-01,1.000000000000000000e+00,9.999999981093941059e-01,9.997748732566833496e-01,9.992266893386840820e-01,9.930871129035949707e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.395995736122131348e-01,9.999928474426269531e-01,9.999532699584960938e-01,9.999995231628417969e-01,8.971989154815673828e-01,9.994420409202575684e-01,9.259821772575378418e-01
0.000000000000000000e+00,3.209422901272773743e-02,1.341949717243711981e-01,4.099999999999999756e-01,2.314016266105694055e-13,8.985973695637404258e-12,6.071715150028467178e-03,6.932800412178039551e-01,1.601649075746536255e-01,9.993168115615844727e-01,4.292596876621246338e-01,8.862587064504623413e-02,4.305689036846160889e-01,8.110997676849365234e-01,2.753742225468158722e-02,9.616560935974121094e-01,2.506667077541351318e-01,1.684095859527587891e-01,4.209876358509063721e-01
0.000000000000000000e+00,2.114187664119526744e-04,4.397486767950865155e-02,1.799999999999999933e-01,1.536142425637674304e-13,1.037456733013417612e-08,1.153254602104425430e-02,6.034952588379383087e-03,3.269943296909332275e-01,1.851025444921106100e-05,7.221884443424642086e-04,1.001038256731590081e-07,1.058834195137023926e-01,1.722832792438566685e-03,1.174518689513206482e-01,2.043847180902957916e-02,8.288028836250305176e-02,3.465665131807327271e-02,1.274278759956359863e-01
1.000000000000000000e+00,8.408808112144470215e-01,9.652054536761836001e-01,8.599999999999999867e-01,1.000000000000000000e+00,9.999999998498732001e-01,8.562976717948913574e-01,9.024612307548522949e-01,9.546359777450561523e-01,5.007806248613633215e-05,9.843673110008239746e-01,9.956939220428466797e-01,8.670303821563720703e-01,9.933550357818603516e-01,9.234476089477539062e-01,9.472426176071166992e-01,7.881116867065429688e-01,9.961523413658142090e-01,6.185873746871948242e-01
1.000000000000000000e+00,1.005994677543640137e+00,9.263643695761537566e-01,6.899999999999999467e-01,4.614150194760623410e-18,9.999586751466549295e-01,9.999911785125732422e-01,9.997536540031433105e-01,9.663938879966735840e-01,9.999991655349731445e-01,9.997429251670837402e-01,9.999991655349731445e-01,7.206968069076538086e-01,9.978992938995361328e-01,9.998732805252075195e-01,6.262344121932983398e-01,8.299385309219360352e-01,9.989480376243591309e-01,8.931915760040283203e-01
0.000000000000000000e+00,4.011436365544795990e-03,1.128438821080274615e-02,5.000000000000000278e-02,1.453494179222843143e-15,7.680617172519168644e-12,5.554165181820280850e-05,4.604350309818983078e-03,1.474392134696245193e-02,1.241821401265497116e-08,1.198335085064172745e-04,2.988162123074289411e-06,8.208865672349929810e-02,8.780604111962020397e-04,3.458159277215600014e-03,3.775171237066388130e-03,2.038079053163528442e-01,1.396573265083134174e-03,2.366535663604736328e-01
0.000000000000000000e+00,3.130246698856353760e-01,1.467519218216496550e-02,1.400000000000000133e-01,1.870393680490744879e-19,3.413622745035098728e-15,1.753465198817139026e-06,8.086911402642726898e-03,8.456479758024215698e-03,9.301044201492913999e-07,4.626797453965991735e-05,1.073424755304586142e-05,9.760548919439315796e-02,5.407066055340692401e-05,2.623520093038678169e-03,1.142462599091231823e-03,1.810497641563415527e-01,6.598218460567295551e-04,2.625826001167297363e-01
0.000000000000000000e+00,9.603068232536315918e-01,4.715997178041460985e-02,2.200000000000000011e-01,7.062744562358354925e-14,1.651617032109660330e-15,1.128679723478853703e-03,2.533837221562862396e-03,9.393621236085891724e-02,2.982819023600313812e-05,1.436464139260351658e-03,1.625896315090358257e-03,3.428393304347991943e-01,8.780607022345066071e-03,2.171666920185089111e-02,3.447809070348739624e-02,3.236224949359893799e-01,2.102037193253636360e-03,1.318946033716201782e-01
1.000000000000000000e+00,9.582146406173706055e-01,9.536259435521493577e-01,7.600000000000000089e-01,9.999999998955217961e-01,9.999999940005970256e-01,9.999977350234985352e-01,9.997875094413757324e-01,9.860910773277282715e-01,9.994996786117553711e-01,9.785027503967285156e-01,9.999980926513671875e-01,8.227123618125915527e-01,9.983891248703002930e-01,9.978684186935424805e-01,9.992333650588989258e-01,8.876101374626159668e-01,9.999361038208007812e-01,9.357952475547790527e-01
0.000000000000000000e+00,3.505960702896118164e-01,1.151131173789243650e-01,3.499999999999999778e-01,1.000000000000000000e+00,1.899100120367255362e-03,7.648113965988159180e-01,8.689208328723907471e-02,6.820147037506103516e-01,9.975278973579406738e-01,3.687271149829030037e-03,8.631577948108315468e-04,4.184260070323944092e-01,7.613789290189743042e-02,4.026531800627708435e-02,4.422814399003982544e-02,4.833316802978515625e-01,8.313518017530441284e-03,5.795516371726989746e-01
0.000000000000000000e+00,1.029850319027900696e-01,3.934715686172937654e-02,1.100000000000000006e-01,5.571727218078928421e-11,1.488027093576100045e-09,8.272524923086166382e-03,2.362392144277691841e-03,8.697551675140857697e-03,2.320856765436474234e-06,1.060473150573670864e-03,1.393753482261672616e-04,8.545493707060813904e-03,4.129209369421005249e-02,9.773773141205310822e-03,9.236520156264305115e-03,2.022796869277954102e-01,4.160909354686737061e-02,8.844176679849624634e-02
0.000000000000000000e+00,9.821813106536865234e-01,3.911892750949221842e-01,6.800000000000000488e-01,9.988117972187325888e-01,2.394851540610014185e-05,6.514242384582757950e-03,1.046674624085426331e-01,4.061951488256454468e-02,9.990491271018981934e-01,3.454115940257906914e-03,7.331004831939935684e-03,6.544705629348754883e-01,9.136612527072429657e-03,8.085017092525959015e-03,1.994429854676127434e-03,3.277455568313598633e-01,5.726330447942018509e-03,3.568877279758453369e-02
0.000000000000000000e+00,8.511885404586791992e-01,2.706403209227109877e-02,1.900000000000000022e-01,4.053012061287579940e-15,4.972950961379657038e-09,4.100278601981699467e-04,1.209311373531818390e-02,1.297334134578704834e-01,7.370484127022791654e-06,1.023833901854231954e-04,3.011486342074931599e-06,1.371906995773315430e-01,1.346624828875064850e-02,1.152170635759830475e-02,7.155174762010574341e-02,1.903405338525772095e-01,2.969883009791374207e-02,6.795017123222351074e-01
0.000000000000000000e+00,5.725062638521194458e-02,1.630778435436478213e-01,4.699999999999999734e-01,9.721366498546522960e-22,2.652641054039406483e-04,2.737691104412078857e-01,9.575890302658081055e-01,9.008980989456176758e-01,3.525413194438442588e-05,4.109881818294525146e-02,8.302392670884728432e-04,6.972582340240478516e-01,3.359218314290046692e-02,3.180144354701042175e-02,9.918510317802429199e-01,2.723823487758636475e-01,9.150452613830566406e-01,5.140548348426818848e-01
1.000000000000000000e+00,1.000841021537780762e+00,6.473118444708725328e-01,5.200000000000000178e-01,3.759946730597254490e-08,5.433115282995677475e-01,9.969093203544616699e-01,9.066932201385498047e-01,2.671756744384765625e-01,2.019333478529006243e-04,1.000000000000000000e+00,9.999992847442626953e-01,6.463073492050170898e-01,8.481049537658691406e-01,9.819881319999694824e-01,4.804772436618804932e-01,3.625191152095794678e-01,3.421845147386193275e-03,1.536063402891159058e-01
1.000000000000000000e+00,9.548734426498413086e-01,9.587122377380054017e-01,7.600000000000000089e-01,9.977620052697729891e-01,9.999999714351835989e-01,9.994452595710754395e-01,9.998285770416259766e-01,9.951716065406799316e-01,9.999890327453613281e-01,9.999982118606567383e-01,9.403581619262695312e-01,7.880636453628540039e-01,7.222785353660583496e-01,6.167538166046142578e-01,9.987529516220092773e-01,8.762674331665039062e-01,9.992933273315429688e-01,6.428695321083068848e-01
0.000000000000000000e+00,6.862508505582809448e-02,1.000376636921252865e-01,3.400000000000000244e-01,8.815150186851420377e-01,2.736112106094848147e-04,5.070600891485810280e-04,3.871297230944037437e-03,3.145603090524673462e-02,9.999994039535522461e-01,8.483420610427856445e-01,1.240999102592468262e-01,4.983056485652923584e-01,9.875096678733825684e-01,9.996650218963623047e-01,9.854789972305297852e-01,5.336335301399230957e-01,5.575700402259826660e-01,5.905565023422241211e-01
1.000000000000000000e+00,8.229378461837768555e-01,7.093134416055156821e-01,5.200000000000000178e-01,9.999296513645558049e-01,5.167079895279364085e-04,9.981466531753540039e-01,9.298846125602722168e-01,9.669018983840942383e-01,7.923151254653930664e-01,9.992951154708862305e-01,9.999772310256958008e-01,9.851394295692443848e-01,9.999692440032958984e-01,9.999998807907104492e-01,9.999395608901977539e-01,7.003748416900634766e-01,9.995883107185363770e-01,9.634080529212951660e-01
1.000000000000000000e+00,4.605573788285255432e-02,8.149947847209940699e-01,5.000000000000000000e-01,1.536963662828136399e-07,9.990834678031361715e-01,9.999970197677612305e-01,8.911977410316467285e-01,4.290520250797271729e-01,8.172020898200571537e-05,9.870781898498535156e-01,3.954983502626419067e-02,5.159224867820739746e-01,5.143865197896957397e-02,6.096473932266235352e-01,9.801558256149291992e-01,6.637161970138549805e-01,8.056957125663757324e-01,5.598606467247009277e-01
